image,label
../data/WildScenes/WildScenes2d/V-03/image/1639697341-334344887.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697341-334344887.png
../data/WildScenes/WildScenes2d/V-03/image/1639700768-153255225.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639700768-153255225.png
../data/WildScenes/WildScenes2d/V-01/image/1623377824-185479577.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623377824-185479577.png
../data/WildScenes/WildScenes2d/V-01/image/1623379624-957037939.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623379624-957037939.png
../data/WildScenes/WildScenes2d/V-03/image/1639698024-573380798.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639698024-573380798.png
../data/WildScenes/WildScenes2d/V-03/image/1639697953-528521911.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697953-528521911.png
../data/WildScenes/WildScenes2d/V-03/image/1639699114-281905944.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639699114-281905944.png
../data/WildScenes/WildScenes2d/V-02/image/1623372322-563080351.png,../data/WildScenes/WildScenes2d/V-02/indexLabel/1623372322-563080351.png
../data/WildScenes/WildScenes2d/V-02/image/1623370787-917482706.png,../data/WildScenes/WildScenes2d/V-02/indexLabel/1623370787-917482706.png
../data/WildScenes/WildScenes2d/V-01/image/1623378644-806577684.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623378644-806577684.png
../data/WildScenes/WildScenes2d/V-03/image/1639698984-922219115.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639698984-922219115.png
../data/WildScenes/WildScenes2d/V-03/image/1639696910-301473045.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639696910-301473045.png
../data/WildScenes/WildScenes2d/V-03/image/1639700871-801026973.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639700871-801026973.png
../data/WildScenes/WildScenes2d/V-03/image/1639697357-521282111.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697357-521282111.png
../data/WildScenes/WildScenes2d/V-03/image/1639697756-207326564.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697756-207326564.png
../data/WildScenes/WildScenes2d/V-01/image/1623379546-297849190.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623379546-297849190.png
../data/WildScenes/WildScenes2d/V-03/image/1639697696-390455223.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697696-390455223.png
../data/WildScenes/WildScenes2d/V-01/image/1623379261-414577541.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623379261-414577541.png
../data/WildScenes/WildScenes2d/V-03/image/1639699544-972355072.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639699544-972355072.png
../data/WildScenes/WildScenes2d/V-01/image/1623378551-341916135.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623378551-341916135.png
../data/WildScenes/WildScenes2d/V-02/image/1623370650-164595114.png,../data/WildScenes/WildScenes2d/V-02/indexLabel/1623370650-164595114.png
../data/WildScenes/WildScenes2d/V-02/image/1623372208-461176785.png,../data/WildScenes/WildScenes2d/V-02/indexLabel/1623372208-461176785.png
../data/WildScenes/WildScenes2d/V-03/image/1639700449-509799123.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639700449-509799123.png
../data/WildScenes/WildScenes2d/V-03/image/1639699029-408844069.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639699029-408844069.png
../data/WildScenes/WildScenes2d/V-03/image/1639698997-175972102.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639698997-175972102.png
../data/WildScenes/WildScenes2d/V-03/image/1639699722-905360992.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639699722-905360992.png
../data/WildScenes/WildScenes2d/V-03/image/1639697217-611887239.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697217-611887239.png
../data/WildScenes/WildScenes2d/V-01/image/1623379583-148022973.png,../data/WildScenes/WildScenes2d/V-01/indexLabel/1623379583-148022973.png
../data/WildScenes/WildScenes2d/V-03/image/1639697210-144253341.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697210-144253341.png
../data/WildScenes/WildScenes2d/V-03/image/1639699227-048389557.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639699227-048389557.png
../data/WildScenes/WildScenes2d/V-03/image/1639698198-518668201.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639698198-518668201.png
../data/WildScenes/WildScenes2d/V-03/image/1639697413-764221124.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639697413-764221124.png
../data/WildScenes/WildScenes2d/V-03/image/1639699018-354696102.png,../data/WildScenes/WildScenes2d/V-03/indexLabel/1639699018-354696102.png
