Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
0,0.8425925925925926,,,,,0.5428783637090785,0.7467288717288717,0.0,,,,,0.0,,0.698985704017251,,0.6475725661443616
1,0.9197012857032874,,,,,0.47962315323674254,0.7607632563045355,,,,,,0.5337078651685393,,0.8119382631872559,,0.5140449438202247
2,0.6701030927835051,,,,,0.0,0.9092199766160013,,,0.33736559139784944,,,,0.08360655737704918,0.9187340249586529,,0.9226463471886173
3,0.9471277507859388,,,,,0.5147713476325374,0.8434759500398619,0.029981549815498155,,,,,0.0,,0.7970106075216972,,0.6871794871794872
4,0.887187000532765,,,,,0.7477198513680892,0.8278154370108393,,,,,,0.185546875,,0.5875341445244598,,0.5889830508474576
5,0.8684402332361516,,,,,0.13609467455621302,0.8524973369629542,,,,,,,0.12658227848101267,0.8861928616155291,,0.9339065924801888
6,0.8317757009345794,,,,,0.533043298114771,0.7800661521499449,,,,,0.5038167938931297,0.0,0.0,0.6110351896139392,,0.5738559130040779
7,0.8392027472897448,,,,,0.26543413667877186,0.8768710200437061,,,,,,0.14603174603174604,,0.5816571790006325,,0.6508549365692223
8,0.8817621853240493,,,,,0.24452792024850104,0.7057838437545791,,,,,,0.05374823196605375,,0.49564554757239276,,0.4033798677443057
9,0.4945155393053016,,,,,0.46825668344655685,0.7800786958965711,,,,,,0.06496519721577726,,0.7735050432276657,,0.0
10,0.7818181818181819,,,,,0.6731253497481813,0.8022276721847538,0.0,,,,,0.0,,0.3909549322407816,,0.5089945086157924
11,,,,,,0.48739317373533625,0.8042391343166315,0.0,,,,,,,,,0.3282275711159737
12,0.8056762503466766,,,,,0.20110192837465565,0.8268780314681178,0.0,,,,,0.0,,0.6483319917717557,,0.5771183751190099
13,0.6796747967479675,,,,,0.5836854850197046,0.7845889089991989,0.6724677505533929,,,,,0.0,,0.5092969718434567,,0.5175131348511384
14,0.9550218340611354,,,,,0.35926559825735177,0.8412528729488481,0.0,,,,,0.0,,0.5385157144114798,,0.7731554160125589
15,0.7770360480640854,,,,,0.49214197421861205,0.8568909334866782,,,,,,,0.0,0.5995925758261657,,0.6106449921342423
16,0.6023824855119124,,,,,0.3605616719537227,0.6658957282581436,,,,,,0.15614973262032086,,0.8161857279548774,,0.0
17,0.9503045848028214,,,,,0.4275930945926666,0.8629520721807534,,,,,0.0,0.005259697567389875,,0.7873271239062941,,0.35524256651017216
18,0.929876796714579,,,,,0.4218088518280949,0.865152863637457,,,,,,0.4778761061946903,,0.804946645710977,,0.6291585127201565
19,0.9325414953555657,,,,,0.6015759665107117,0.7944360484841008,0.0,,,,,0.42396636299929924,0.22933333333333333,0.7185672514619883,,0.5472136222910217
20,,,,,,0.04539722572509458,0.8751202987257959,,,0.0,,,,0.11954765751211632,0.9725112519963219,,0.9348680233729599
21,0.6376171496283529,,,,,0.4381685575364668,0.8168509263466102,,0.4499738082765846,,,0.0,0.0,0.3275462962962963,0.28984962406015036,,0.6243336469112575
22,0.9599310236714218,,,,,0.635895549834498,0.8752468729427255,0.0,,,,,0.0,,0.5209907954800569,,
23,0.8896811249752427,,,,,0.5745568300312826,0.8468154891395294,0.37155705452501403,,,,0.0,0.5705521472392638,,0.4160202627829666,,0.4364592462751972
24,0.6630844494345978,,,,,0.268147166058999,0.8712261051841191,0.44402308326463313,,,,,,0.5151515151515151,0.6723649286967475,,0.14482758620689656
25,0.881211547562707,,,,,0.497134259922625,0.7576980705134085,,,,,,0.0,,0.7735997637562753,,0.6050275482093664
26,0.1956989247311828,,,0.5610184372256365,,0.027577937649880094,0.9174868623522922,,,,,,,0.0,0.8489191729323309,,0.9568511993822095
27,0.864516129032258,,,,,0.5524693766091909,0.8329148357396945,0.8768287229285121,,,,,,,0.23187633262260127,,0.5734767025089605
28,0.9396201315497746,,,,,0.3719588095507525,0.5903072870939421,,,,,,,,0.8327543989522237,,0.355119825708061
29,0.9513158597128063,,,,,0.4203483591238693,0.7586657400972898,0.0,,,,,0.5794871794871795,0.0,0.5892651019622932,,0.5385093167701863
30,0.8889403768921841,,,,,0.39092996555683124,0.7671694018116183,0.0,,,,,0.0,,0.5870714651202457,,0.7925033467202142
31,0.6151394422310758,,0.9360618014464168,,,0.6466259870782484,0.8405791072097184,0.779755690123199,,,,0.5111821086261981,0.0,,0.0,,0.43911917098445596
32,0.6006339144215531,,,,,0.16211588717671443,0.7448841055515786,0.8021978021978022,,,,,,0.0,0.8459643097140297,,0.9585436744684106
33,0.9250044428647592,,,,,0.8164750400232863,0.8881160657136761,0.0,,,,,0.33268858800773693,,0.7882747068676716,,0.6345679012345679
34,0.6667492566897919,,,,,0.3125252797627073,0.7647860585114151,,,,,,0.0,,0.7762809187279152,,0.0
35,0.4065915957154628,,,,,0.5625,0.8006203324500121,,,,,,0.7597809076682316,,0.2933448078026391,,0.2898550724637681
36,0.9051626680065319,,,,,0.38272455777624625,0.750747416075852,,,,,,0.03225806451612903,,0.5958177593696333,,0.2703045685279188
37,0.9420816413763625,,,,,0.38077118214104516,0.731809311402286,0.0,,,,,0.0,,0.5840620359676622,,0.5390334572490706
38,0.6873259052924791,,,,,0.6760712566201251,0.8004222071241386,,,,,,,0.14432989690721648,0.8483170947741364,,0.296768008764722
39,0.9164255866280938,,,,,0.5011475988700564,0.8713967055593685,0.0,,,,,0.2912621359223301,,0.8000743563528209,,0.0
40,0.23948681397006416,,,,,0.4239375765783195,0.7443755230640476,0.0,,,,,0.652073732718894,,0.5328458257160268,,0.522231543624161
41,0.823063877897117,,,,,0.4552681537731372,0.8851485921818253,,,,,,,,0.7941579187585578,,0.7930038510911425
42,0.45539280958721706,,,,,0.6270154373927959,0.7664732241239991,,,,,,0.0,,0.7386331140977981,,0.05058823529411765
43,0.7409993018849107,,,,,0.49049779706714014,0.7518506755271066,,,,,0.410899445382204,0.0,,0.5779805048737816,,0.014124293785310734
44,0.8867619304394716,,,,,0.4680200829513207,0.8532366781126797,,,,,0.6510538641686182,,,0.7910816510997288,,0.33698030634573306
45,0.8537574722459437,,,,,0.4051560379918589,0.7801278149726111,0.0,,,,,0.4332745443856555,,0.620014194464159,,0.6465997770345596
46,0.570369030390738,,,,,0.03925925925925926,0.9148553385225436,,,0.18197573656845753,,,0.0,0.11772853185595568,0.8218938885157824,,0.9265059083485445
47,0.0,,0.7286689419795221,,,0.5353122995276142,0.7650656288525224,0.7468152866242038,,,,,,,0.0,,0.0
48,0.5768988007574164,,,0.0,,0.4445499430307634,0.8608319402104435,,0.6130470016207455,,,0.0,0.0,0.18181818181818182,0.3765964791163272,,0.4107365792759051
49,0.43268770923003347,,,0.4208754208754209,,0.0,0.9233125396884688,,,0.0,,,,0.0,0.8709818499890662,,0.9502021433613553
