Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
0,0.8524324324324324,,,,,0.6142969927510228,0.7611914600550964,0.0,,,,,,,0.7140682757121113,,0.49803613511390415
1,0.9482655502392344,,,,,0.47911886186324004,0.7614648494138117,,,,,,0.5285714285714286,,0.8630529054640069,,0.33574007220216606
2,0.6814332247557003,,,,,0.0,0.9094135633941247,,,0.37816979051819183,,,,0.06896551724137931,0.9209478295499801,,0.9349730616069337
3,0.9499304589707928,,,,,0.480671680951548,0.8441460604449171,0.5038167938931297,,,,,0.0,,0.8221047996477323,,0.7111928104575164
4,0.9338474403047478,,,,,0.7311714003108661,0.810294370803925,,,,,,0.23474801061007958,,0.615314215985357,,0.6533637400228051
5,0.8800398208063713,,,,,0.1105121293800539,0.8403303245630882,,,,,,,0.12839059674502712,0.890702479338843,,0.9321689460097765
6,0.838131797824696,,,,,0.5154824532196843,0.7768749819921054,,,,,0.5669291338582677,0.43582089552238806,0.0,0.5869976359338062,,0.5986413812623832
7,0.9142882157240413,,,,,0.25098039215686274,0.8675719986389087,,,,,,0.1855421686746988,,0.6508810572687225,,0.6434058898847631
8,0.910616498851793,,,,,0.21442866673020108,0.7293768228400181,,,,,,0.046762589928057555,,0.6101002599331601,,0.4418394950405771
9,0.5573065902578797,,,,,0.44292558288086875,0.7715711012500363,,,,,,0.25925925925925924,,0.7804532577903682,,0.0
10,0.7710691823899372,,,,,0.6755247275020269,0.8456644487447976,,,,,,0.0,,0.577644145737531,,0.5162076529368754
11,,,,,,0.5334364908503767,0.8259627743133241,,,,,,,,,,0.3819672131147541
12,0.9168594035301278,,,,,0.2529544175576815,0.8076703825690398,0.0,,,,,0.0,,0.719758064516129,,0.6618423626051242
13,0.6421780466724287,,,,,0.6031210191082803,0.7865455689234883,0.6742069453035257,,,,,0.0,,0.39731142643764,,0.5536959553695955
14,0.963241842765768,,,,,0.3527714815577993,0.8626281387291496,,,,,,0.0,,0.8317239755063589,,0.7244318181818182
15,0.8074204946996466,,,,,0.4565192418150488,0.8455234227988512,,,,,,,0.0,0.6523913723038449,,0.5890823844608172
16,0.6769776876267748,,,,,0.3242329213552235,0.6680330842342016,,,,,,0.5227722772277228,,0.8155572855845336,,0.0
17,0.9398611111111111,,,,,0.40610687022900765,0.8663947636746374,,,,,0.0,0.4396014943960149,,0.7949886104783599,,0.3987291501191422
18,0.941450997030123,,,,,0.455928102315935,0.8825738607911868,,,,,,0.11594202898550725,,0.8743064205639225,,0.5662251655629139
19,0.9444031112614136,,,,,0.6441436751691827,0.8334827718713974,0.7154340836012861,,,,,0.6517996870109546,0.21052631578947367,0.6940009675858733,,0.5836177474402731
